,Country,Region,Year,Water Source Type,Water Treatment Method,"Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people","Infant Mortality Rate (per 1,000 live births)",GDP per Capita (USD),Healthcare Access Index (0-100),Urbanization Rate (%),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²)
1519,Brazil,East,2017,Tap,Chlorination,1,38,57.91,54662,17.83,70.56,94.06,1550,32.12,852
1520,Mexico,West,2015,Spring,Boiling,0,86,93.39,48978,60.27,78.13,46.98,377,9.15,155
1521,USA,North,2003,Well,Chlorination,33,6,15.5,42749,42.43,28.33,54.86,2213,0.09,987
1522,Bangladesh,East,2011,Lake,Chlorination,26,67,71.07,93464,8.77,10.3,80.15,667,20.4,680
1523,China,South,2006,River,Chlorination,36,54,44.91,5568,72.58,81.19,86.8,821,30.62,989
1524,Ethiopia,West,2013,Lake,Boiling,49,7,30.81,47236,7.11,20.72,28.81,2095,5.0,327
1525,Mexico,East,2022,Spring,,5,31,85.6,10729,70.22,42.26,59.26,2403,21.31,544
1526,Ethiopia,North,2011,River,Boiling,37,18,46.74,89514,28.12,39.28,93.16,2507,12.58,369
1527,India,Central,2002,Spring,Chlorination,26,11,59.16,77944,56.57,23.14,73.17,2643,33.53,190
1528,India,Central,2004,Spring,,47,56,45.42,43912,16.05,57.9,63.44,1802,4.01,583
1529,Brazil,North,2016,Pond,Boiling,15,9,9.96,89584,37.09,83.48,77.44,2507,33.92,83
1530,USA,North,2009,Tap,Boiling,34,77,60.3,91497,10.41,51.1,72.91,470,24.43,538
1531,China,Central,2009,Pond,,26,90,43.05,44954,46.73,87.83,95.38,611,36.78,903
1532,Pakistan,East,2010,Lake,Filtration,34,20,10.5,69050,21.33,25.26,93.01,592,37.43,818
1533,Mexico,Central,2016,Lake,Chlorination,35,19,60.39,37442,18.79,77.88,51.82,2442,32.36,264
1534,Mexico,North,2004,Tap,Filtration,37,3,2.97,90920,10.72,30.55,22.56,2614,21.2,374
1535,Brazil,West,2012,Pond,Chlorination,27,18,22.43,58570,76.54,30.04,46.61,1093,5.7,273
1536,India,South,2009,Lake,Chlorination,2,28,78.54,69140,63.95,19.42,36.23,793,9.02,936
1537,Brazil,West,2008,Pond,Filtration,40,70,5.72,19821,15.69,79.09,30.52,2809,16.71,826
1538,Bangladesh,West,2016,Tap,Filtration,30,63,65.37,14517,47.24,68.0,91.04,1301,29.16,889
1539,China,North,2000,River,Chlorination,2,96,95.07,43173,66.09,37.33,76.79,2784,21.79,194
1540,USA,Central,2003,Spring,,37,71,18.78,78099,87.81,37.95,22.61,2030,17.53,441
1541,Indonesia,East,2003,Spring,,23,10,42.88,83370,5.96,77.58,93.58,2819,19.1,702
1542,Nigeria,West,2017,Pond,Filtration,25,32,58.4,51087,36.24,84.21,92.24,507,29.66,967
1543,Nigeria,Central,2008,Lake,Filtration,40,24,46.14,5065,61.6,58.19,95.95,781,1.37,497
1544,Brazil,East,2024,Pond,Boiling,46,32,62.8,79261,1.56,42.55,86.39,2913,17.71,739
1545,Bangladesh,West,2017,Pond,,27,99,41.6,24821,24.35,14.25,26.31,759,22.91,115
1546,China,East,2013,Well,,8,25,16.55,60041,74.49,20.13,69.82,2813,23.55,443
1547,Pakistan,Central,2024,Spring,Chlorination,36,35,10.73,51852,35.57,21.34,26.65,2106,24.75,576
1548,Nigeria,South,2014,Tap,Boiling,26,10,74.96,31123,8.45,32.14,77.07,1595,2.14,146
1549,China,Central,2005,Pond,Chlorination,47,29,25.39,28127,62.66,30.56,35.76,1337,22.32,297
1550,USA,North,2023,Well,Boiling,2,56,85.05,51322,25.01,53.43,94.86,476,22.02,352
1551,Ethiopia,East,2009,Well,,40,96,74.82,46129,70.17,85.53,94.73,661,34.19,361
1552,Bangladesh,South,2014,Spring,Chlorination,48,9,6.85,93746,90.02,78.93,67.57,2869,30.4,578
1553,India,East,2003,Spring,Boiling,27,92,21.72,85784,52.79,50.73,80.21,2238,1.25,621
1554,China,East,2017,Spring,Chlorination,31,24,30.62,84535,59.91,11.38,88.65,2232,22.24,14
1555,USA,West,2017,Tap,Boiling,34,95,60.26,41684,51.44,15.47,51.13,2262,27.64,896
1556,Pakistan,North,2024,Well,Filtration,6,67,81.36,1346,81.74,78.83,66.34,241,23.21,633
1557,Indonesia,East,2016,Lake,Chlorination,6,56,7.91,32892,24.17,32.69,34.08,219,27.05,458
1558,India,Central,2011,Tap,Filtration,20,33,26.46,98386,40.15,35.45,98.84,1239,4.67,507
1559,Indonesia,Central,2006,River,Boiling,31,85,38.87,65301,89.5,21.18,94.35,846,6.77,955
1560,Pakistan,West,2015,Pond,Chlorination,37,76,19.97,80618,72.36,27.85,58.67,806,23.31,616
1561,USA,North,2010,Spring,Boiling,19,53,55.44,55087,32.01,29.78,64.27,2340,32.03,840
1562,Nigeria,North,2013,Well,Boiling,7,50,48.84,54039,83.26,42.97,54.94,2328,1.04,232
1563,Indonesia,Central,2002,Pond,Filtration,3,99,33.02,24531,23.88,59.85,20.13,2137,17.45,707
1564,India,South,2018,Tap,Chlorination,25,5,52.65,92873,63.42,38.25,38.4,2086,39.68,962
1565,Brazil,West,2017,River,,14,58,36.87,7411,95.65,45.99,28.13,1721,30.63,892
1566,Mexico,West,2009,Tap,Boiling,5,53,35.63,43043,57.47,24.55,45.83,857,18.01,146
1567,China,Central,2005,Tap,Filtration,47,16,28.01,94584,79.95,14.51,38.9,2742,3.92,746
1568,Nigeria,Central,2012,Lake,,31,25,54.96,50868,73.54,37.86,80.93,2273,14.37,772
1569,Indonesia,South,2009,Pond,Filtration,4,87,45.52,87526,86.57,15.0,60.38,1932,6.18,876
1570,Ethiopia,South,2017,Lake,Filtration,43,8,21.24,92733,96.88,33.98,85.36,2903,36.83,547
1571,China,North,2019,Tap,Filtration,45,1,3.27,24125,2.23,77.01,70.86,2182,27.43,712
1572,Brazil,West,2015,River,Boiling,5,19,16.79,78948,2.79,39.35,72.5,655,34.23,203
1573,Pakistan,West,2024,Well,,2,90,6.2,75514,59.44,25.46,90.1,1300,35.9,811
1574,Mexico,Central,2024,Well,Boiling,28,5,44.3,61001,95.42,82.17,87.78,513,24.28,346
1575,USA,North,2005,Pond,Boiling,18,90,24.06,33325,48.57,61.15,25.06,551,0.26,15
1576,Brazil,West,2012,Spring,Chlorination,9,87,43.2,75912,83.98,89.06,66.27,2237,22.24,839
1577,Brazil,North,2003,Spring,,6,78,34.29,61332,76.79,34.02,53.05,1122,32.1,872
1578,Pakistan,North,2022,Well,Chlorination,44,54,54.73,82207,49.83,26.03,67.97,1424,12.58,741
1579,Bangladesh,Central,2013,Tap,Filtration,0,47,72.94,1804,51.32,33.84,89.01,2550,37.11,222
1580,Pakistan,North,2000,Tap,,0,57,48.97,51282,43.6,75.0,20.96,526,39.87,596
1581,Bangladesh,South,2019,Lake,,16,96,8.07,53732,25.22,22.12,20.88,322,21.97,946
1582,Bangladesh,South,2004,Pond,Boiling,21,41,3.72,86723,85.87,29.29,25.0,2425,21.25,831
1583,Nigeria,East,2007,Lake,Filtration,35,73,22.9,6503,20.96,66.13,89.99,1525,26.21,514
1584,Nigeria,Central,2011,Spring,Boiling,13,20,43.65,17296,90.69,69.04,48.28,1231,22.65,685
1585,India,East,2001,Well,Chlorination,5,5,6.4,51270,35.97,86.71,49.7,201,6.42,240
1586,Indonesia,South,2011,Tap,Filtration,29,29,34.12,71172,2.65,88.41,47.63,1369,10.84,761
1587,Indonesia,East,2004,Well,Boiling,45,22,88.93,3277,16.84,63.08,38.48,2795,8.07,100
1588,USA,Central,2021,River,Boiling,46,35,10.82,66775,88.78,39.02,23.11,1823,2.89,861
1589,Indonesia,Central,2004,Well,Boiling,32,2,94.95,54551,12.84,46.24,92.52,2878,5.62,634
1590,Nigeria,North,2012,River,Filtration,19,89,85.95,95126,73.88,45.14,38.63,2729,38.89,349
1591,India,West,2008,Lake,Chlorination,15,33,83.51,27324,18.28,40.99,91.52,1265,22.2,651
1592,India,North,2009,Lake,,3,29,86.64,40853,49.89,37.06,96.46,1581,5.04,622
1593,Bangladesh,Central,2000,Spring,Boiling,33,81,9.84,47021,20.52,23.43,66.13,1874,28.52,548
1594,Pakistan,South,2002,Well,Filtration,0,80,16.81,29158,33.32,39.29,49.78,2818,19.07,539
1595,USA,South,2017,Well,,12,41,15.17,71657,12.48,87.54,81.26,2939,8.99,726
1596,Bangladesh,North,2011,River,Boiling,47,20,12.9,32325,55.6,80.57,22.03,1937,37.74,219
1597,Pakistan,Central,2002,Lake,Filtration,7,87,34.12,24691,36.58,59.39,94.31,2468,8.98,389
1598,Indonesia,South,2024,River,Chlorination,21,3,83.36,12867,36.55,25.42,52.63,2296,3.9,20
1599,Bangladesh,Central,2008,Lake,Boiling,3,48,26.69,88752,3.86,80.29,44.69,1151,8.23,983
1600,China,South,2001,River,Filtration,33,47,25.93,2003,13.61,34.95,30.15,559,36.48,949
1601,Indonesia,Central,2002,Lake,Boiling,44,88,68.24,52879,70.75,53.66,96.41,951,34.31,525
1602,Pakistan,East,2013,River,Filtration,36,50,11.5,1327,29.23,82.94,84.88,839,35.77,624
1603,USA,Central,2003,Lake,Chlorination,22,23,37.31,20115,44.21,36.78,77.92,2065,36.65,726
1604,Pakistan,Central,2024,Pond,Chlorination,19,45,30.95,81125,76.31,83.07,94.48,2340,3.1,604
1605,Bangladesh,North,2018,River,Filtration,23,26,85.04,52525,44.48,28.81,96.79,2938,28.45,564
1606,Bangladesh,East,2012,Well,,26,94,52.42,10309,22.56,84.3,41.48,1707,26.58,773
1607,Brazil,West,2006,Spring,Chlorination,12,50,65.35,79391,54.98,38.69,82.92,2786,39.72,560
1608,USA,North,2011,Pond,Boiling,4,98,14.65,88272,80.12,39.97,81.36,2886,28.59,836
1609,Ethiopia,West,2002,Pond,Chlorination,15,19,93.03,14447,59.96,54.24,64.59,297,31.68,674
1610,Indonesia,South,2022,River,Boiling,37,79,33.6,91121,42.02,37.76,32.03,1531,28.6,856
1611,India,West,2022,Spring,Chlorination,47,94,71.27,6132,12.56,46.0,95.23,617,24.82,764
1612,USA,Central,2008,Well,Chlorination,28,70,95.55,9386,24.87,50.11,45.23,2151,22.12,93
1613,India,West,2001,Pond,Boiling,25,17,51.85,20900,94.61,49.28,66.31,499,38.77,346
1614,USA,North,2021,Well,Chlorination,21,7,51.74,30292,77.18,86.89,21.55,2123,37.45,64
1615,USA,North,2008,Lake,Boiling,23,26,13.49,96086,8.76,32.54,54.33,759,17.51,330
1616,Pakistan,West,2011,Spring,Boiling,12,13,40.25,63914,0.55,32.77,69.35,983,11.37,102
1617,USA,North,2011,Tap,Chlorination,42,17,85.54,22508,17.54,77.03,50.48,2357,20.36,117
1618,Brazil,North,2014,Lake,Chlorination,20,64,15.24,82318,94.39,41.36,58.17,2066,29.84,860
1619,Ethiopia,West,2001,Spring,Boiling,0,30,91.92,6023,58.0,15.86,35.36,726,16.04,359
1620,Bangladesh,East,2017,River,Filtration,3,19,67.4,9938,83.87,48.5,48.02,2751,21.49,418
1621,Mexico,East,2012,River,Chlorination,2,69,43.25,19491,46.52,54.02,77.87,1325,11.95,741
1622,India,South,2013,Well,,49,44,55.56,48659,82.66,59.42,97.58,2853,17.11,558
1623,Bangladesh,North,2004,Pond,Chlorination,22,0,16.75,33259,3.39,28.81,57.5,1407,38.29,755
1624,Mexico,West,2009,Tap,Filtration,15,18,23.31,62428,42.68,87.86,74.88,418,8.59,643
1625,Ethiopia,North,2011,River,Filtration,44,38,30.07,66323,37.76,68.96,98.1,2376,39.55,596
1626,Ethiopia,Central,2009,Spring,Chlorination,12,26,39.71,16296,98.15,67.61,81.98,1888,8.62,217
1627,India,North,2023,Pond,Chlorination,38,55,91.72,70568,30.05,79.83,20.81,803,12.77,859
1628,India,North,2010,Pond,,30,15,38.02,43637,41.69,12.09,94.84,754,3.49,498
1629,Ethiopia,East,2024,Spring,Chlorination,23,77,53.34,33708,75.88,59.05,89.33,681,30.08,831
1630,Mexico,West,2001,Pond,Filtration,46,97,17.88,22496,88.07,75.43,41.69,2495,0.71,82
1631,USA,North,2004,River,,14,6,74.13,5385,87.84,12.75,34.52,1143,31.51,933
1632,Indonesia,East,2006,Spring,Chlorination,4,19,56.91,87512,39.45,70.49,91.94,1291,23.09,100
1633,China,South,2005,Spring,,48,30,45.11,7364,94.86,89.18,75.1,1943,29.95,887
1634,Bangladesh,East,2021,Well,,21,85,94.82,56659,65.35,57.47,38.96,1940,31.32,829
1635,Pakistan,East,2022,Tap,Filtration,21,83,89.28,15065,85.11,43.98,77.11,1880,4.98,457
1636,Bangladesh,East,2002,Well,Filtration,10,78,66.63,93124,92.63,46.29,68.02,291,0.86,815
1637,Pakistan,North,2012,Tap,Boiling,23,24,92.34,66221,23.36,64.36,44.74,1873,6.75,821
1638,Mexico,North,2002,Spring,Filtration,44,0,57.35,86677,49.92,55.6,64.54,1718,15.36,864
1639,Pakistan,South,2024,Pond,Boiling,9,16,83.04,93882,58.78,73.01,62.18,2776,2.93,244
1640,India,Central,2023,Tap,Filtration,46,79,42.13,16848,80.24,43.73,60.78,1615,18.27,839
1641,Indonesia,Central,2020,Spring,Filtration,33,84,10.5,36811,40.12,43.39,61.39,713,11.4,735
1642,Indonesia,Central,2005,Spring,Boiling,10,26,99.43,38154,21.04,69.68,20.03,639,14.55,589
1643,India,South,2010,Well,Boiling,42,98,18.23,93674,74.32,61.64,41.49,1985,37.61,233
1644,Brazil,Central,2016,Well,Boiling,28,23,26.65,27654,59.23,72.25,54.47,1032,28.97,225
1645,Mexico,Central,2009,Pond,,21,61,17.98,99948,89.83,80.97,30.18,638,26.33,175
1646,Brazil,East,2011,Lake,Boiling,32,51,35.07,21048,65.5,31.07,79.93,2878,26.14,443
1647,Brazil,North,2016,River,,7,50,30.35,31512,1.68,35.2,87.75,1420,22.22,70
1648,Bangladesh,North,2003,Lake,,48,65,60.91,63690,96.67,52.16,85.42,1578,20.52,805
1649,Ethiopia,East,2001,Lake,Boiling,31,56,99.65,66670,59.31,84.44,56.77,1330,35.29,79
1650,Bangladesh,East,2010,Pond,Boiling,39,54,7.15,8077,59.59,76.78,75.26,828,3.0,874
1651,Ethiopia,East,2006,Tap,Boiling,44,52,78.29,18187,90.93,47.48,26.15,341,11.54,552
1652,China,North,2001,Pond,Filtration,22,88,14.54,82952,66.38,55.85,35.95,2065,4.17,194
1653,Pakistan,Central,2017,Pond,Filtration,4,18,3.94,96340,47.93,66.98,23.76,1757,0.44,136
1654,Ethiopia,East,2020,Spring,Boiling,30,12,64.58,59725,10.73,51.81,97.24,904,0.55,659
1655,India,South,2003,Spring,Chlorination,28,28,87.58,19581,96.22,17.88,65.95,1123,0.96,149
1656,Bangladesh,East,2007,Spring,Boiling,5,95,19.28,31120,7.85,38.22,34.02,1565,27.27,272
1657,Mexico,West,2019,River,Chlorination,24,5,35.48,66988,17.03,13.81,76.6,2535,4.46,609
1658,Pakistan,East,2013,Tap,Filtration,24,72,18.54,36073,81.95,63.59,59.13,2514,8.1,165
1659,China,North,2011,Tap,Filtration,30,0,90.84,90006,49.04,36.97,54.74,2145,16.76,340
1660,Ethiopia,East,2021,Spring,Chlorination,13,23,28.5,47631,17.83,69.07,93.08,1755,10.77,489
1661,China,West,2020,Lake,Filtration,16,73,45.58,95135,28.62,44.38,76.66,2075,32.67,797
1662,Mexico,South,2017,River,Boiling,15,98,89.68,93434,99.4,13.65,75.25,2472,24.94,641
1663,Brazil,Central,2010,Lake,Chlorination,27,5,56.18,26055,58.4,40.37,27.78,1164,13.33,997
1664,Indonesia,East,2007,Well,Chlorination,8,47,93.42,4630,40.16,27.5,27.36,2416,12.71,330
1665,Mexico,West,2001,Tap,,1,19,92.79,65615,87.62,27.14,73.15,522,27.35,932
1666,Nigeria,West,2024,Tap,Filtration,3,75,47.24,24826,47.97,40.21,32.52,1923,6.83,921
1667,Mexico,South,2014,Lake,Chlorination,19,66,59.07,53193,30.79,88.27,56.26,2217,11.22,173
1668,China,North,2008,River,Chlorination,40,54,24.57,44033,16.42,86.81,65.58,294,14.14,335
1669,India,East,2018,Tap,Chlorination,35,17,99.07,3886,74.45,74.28,51.05,561,18.19,147
1670,Bangladesh,West,2019,Lake,Filtration,36,20,29.28,44337,59.62,29.64,26.81,1829,7.62,752
1671,India,South,2007,Pond,Chlorination,5,98,78.76,43197,9.24,71.11,79.47,1789,6.29,821
1672,China,Central,2024,Pond,Chlorination,0,63,32.67,27499,59.16,11.23,90.8,2004,39.6,924
1673,Bangladesh,West,2018,River,Boiling,44,36,32.68,16649,15.95,14.51,32.93,2024,36.53,211
1674,Nigeria,South,2004,Lake,Boiling,49,18,12.18,60547,98.17,76.86,88.33,869,20.94,99
1675,Indonesia,North,2010,Pond,,2,88,56.87,97622,25.97,55.14,83.1,2758,30.62,754
1676,Pakistan,North,2014,River,Chlorination,36,55,25.99,79330,69.6,39.86,65.11,2514,26.96,458
1677,China,West,2007,Spring,Filtration,44,61,16.54,11227,65.6,69.24,67.69,2012,3.0,595
1678,Ethiopia,West,2018,River,,41,17,24.21,72126,69.14,19.15,72.13,999,20.72,455
1679,China,East,2022,Well,,2,29,26.61,71531,43.0,32.93,61.98,332,7.36,810
1680,China,South,2007,Spring,,42,55,51.4,52052,7.43,68.21,87.55,2596,23.36,995
1681,Bangladesh,West,2018,Lake,Chlorination,32,41,39.82,95061,98.0,26.57,57.93,746,2.47,491
1682,USA,East,2017,Spring,,14,52,9.4,12647,19.15,58.05,63.76,962,6.52,686
1683,Mexico,East,2009,Spring,Filtration,3,97,54.53,69588,76.97,45.81,22.94,1782,31.27,890
1684,USA,West,2006,Lake,Boiling,14,73,79.2,17862,13.76,26.19,34.41,2515,33.73,662
1685,Nigeria,North,2008,Lake,Boiling,6,85,58.28,39815,28.12,81.07,92.3,2028,36.3,367
1686,Ethiopia,South,2000,Pond,Chlorination,46,49,97.5,87933,55.99,44.84,29.73,1205,35.87,871
1687,Indonesia,South,2018,Well,Filtration,3,3,11.72,25478,41.35,57.91,92.32,1267,36.28,609
1688,Brazil,North,2004,Lake,Filtration,2,62,82.47,11496,95.83,30.24,70.87,1501,3.79,875
1689,Nigeria,West,2018,Tap,Filtration,22,66,51.56,18398,84.77,37.74,93.61,1362,26.38,814
1690,Brazil,South,2000,Tap,Chlorination,13,55,53.12,75775,92.18,13.92,85.14,2078,28.04,28
1691,Brazil,West,2014,Well,Filtration,5,48,52.87,17277,64.07,48.66,89.22,1534,10.73,843
1692,Indonesia,West,2015,River,Boiling,32,91,33.88,13797,21.89,37.59,61.95,465,39.72,39
1693,India,East,2022,River,Filtration,8,21,33.81,67779,51.85,36.35,86.02,2417,11.43,223
1694,USA,North,2006,Tap,Filtration,11,11,63.92,14036,76.55,81.2,56.84,1439,23.0,425
1695,China,West,2011,Lake,Chlorination,49,48,6.39,71472,6.47,66.31,23.53,316,34.89,938
1696,Pakistan,Central,2007,Well,,34,12,59.7,31089,86.31,46.58,72.11,2174,11.57,773
1697,Brazil,North,2004,River,,30,32,73.01,921,63.14,25.63,78.28,2681,24.26,177
1698,Ethiopia,South,2009,River,Chlorination,2,46,36.92,55849,72.36,87.86,28.12,1639,28.8,664
1699,Nigeria,East,2020,Spring,Chlorination,45,63,23.3,54944,69.43,15.98,85.27,287,25.07,719
1700,India,South,2004,Tap,Chlorination,35,82,22.91,47850,84.78,20.89,26.01,433,16.24,365
1701,Brazil,South,2016,Lake,Chlorination,12,16,10.02,7308,8.75,31.63,55.33,808,37.79,373
1702,India,North,2004,Well,Filtration,12,33,10.79,37981,37.7,86.36,59.03,729,24.49,345
1703,India,South,2021,River,Filtration,33,67,18.34,37044,50.26,32.31,22.94,2076,8.97,94
1704,Brazil,West,2014,Spring,,20,38,3.88,86810,54.66,49.31,25.26,1858,32.25,875
1705,Bangladesh,South,2012,Tap,Chlorination,33,71,28.09,89148,94.26,70.89,56.05,437,26.24,113
1706,Mexico,East,2000,Tap,Chlorination,41,96,32.03,89630,4.25,84.33,44.9,2611,4.38,127
1707,Ethiopia,East,2010,Well,Filtration,42,0,99.53,90805,86.64,58.41,85.27,608,11.13,47
1708,China,Central,2022,River,Chlorination,27,4,99.19,78634,55.19,40.74,53.11,1510,6.33,492
1709,China,East,2000,Well,Boiling,46,95,20.33,95327,55.46,88.84,28.44,1202,2.91,490
1710,Ethiopia,South,2010,Well,Filtration,34,39,22.88,29094,32.03,12.09,32.63,2203,9.21,145
1711,Bangladesh,East,2017,Pond,Boiling,13,62,50.21,15480,64.36,76.57,73.88,417,11.13,85
1712,China,North,2017,Spring,Filtration,17,0,16.58,49901,64.64,32.19,96.01,2650,18.66,304
1713,India,East,2020,Tap,Filtration,18,34,51.4,93441,18.93,75.4,89.57,2592,38.77,325
1714,Indonesia,West,2015,Pond,Filtration,18,85,41.14,38319,67.7,22.97,30.36,2731,37.73,506
1715,Nigeria,North,2012,Lake,,32,92,33.81,65626,26.67,37.75,21.31,312,30.15,965
1716,USA,Central,2006,Tap,,34,16,82.62,39379,68.88,14.48,22.12,1241,25.86,630
1717,China,West,2000,Tap,Filtration,19,93,83.16,4891,61.19,25.97,64.39,2466,37.89,577
1718,Ethiopia,South,2015,Spring,Filtration,28,98,98.81,90849,71.6,58.22,58.87,360,5.7,27
1719,Indonesia,South,2000,Lake,Filtration,7,59,23.86,86140,1.97,70.92,21.07,1293,13.21,900
1720,Brazil,South,2016,River,Filtration,24,0,89.05,20893,12.54,82.9,24.57,1230,22.13,441
1721,Mexico,West,2005,Lake,Chlorination,16,3,54.71,70941,84.02,19.57,99.98,1224,32.56,625
1722,Ethiopia,West,2001,River,Chlorination,0,8,59.96,52236,38.07,21.25,97.2,2346,24.95,158
1723,India,West,2016,Lake,Chlorination,37,44,89.84,51417,83.67,85.1,30.14,2846,32.35,449
1724,Mexico,North,2005,Well,,48,31,94.38,66026,6.27,71.28,33.13,1815,6.12,228
1725,Nigeria,North,2013,Lake,Boiling,29,68,73.23,64243,76.94,53.18,92.01,514,7.71,917
1726,Nigeria,South,2017,Pond,Filtration,27,13,36.09,58986,8.38,48.14,60.6,1257,29.62,15
1727,Bangladesh,East,2005,Pond,Chlorination,32,50,49.99,67150,46.83,22.62,96.64,425,13.93,680
1728,Pakistan,South,2009,Spring,Chlorination,12,89,62.28,92831,93.76,40.34,61.63,678,17.44,619
1729,Bangladesh,Central,2023,River,Chlorination,23,22,83.21,13510,7.77,39.81,66.18,2738,31.67,848
1730,Indonesia,North,2017,Tap,Filtration,43,45,66.48,50791,35.07,61.87,37.61,422,2.8,904
1731,Mexico,West,2008,Spring,Filtration,36,85,37.81,8467,51.83,57.91,90.09,1915,6.72,260
1732,Pakistan,North,2007,Pond,Boiling,21,26,42.95,88073,89.95,14.78,86.0,2130,11.83,70
1733,Brazil,West,2009,Pond,,12,88,6.94,43436,33.26,77.88,46.99,719,35.34,488
1734,India,Central,2016,River,Boiling,39,35,92.58,48192,80.7,85.0,68.99,2490,16.2,895
1735,Mexico,Central,2022,Pond,Filtration,11,67,10.64,34413,71.82,72.42,47.32,287,10.08,77
1736,Bangladesh,North,2005,Pond,Boiling,40,31,58.83,67663,30.71,24.27,57.12,1182,27.14,450
1737,USA,West,2013,River,Chlorination,48,72,87.42,10550,34.08,23.77,88.28,679,1.21,262
1738,Pakistan,Central,2021,Pond,Boiling,45,65,43.24,75710,19.1,68.09,53.23,508,31.0,838
1739,Pakistan,South,2021,Tap,Chlorination,6,41,80.41,88181,69.3,45.27,87.25,2902,27.92,893
1740,India,South,2005,Well,Boiling,35,49,80.77,59365,56.31,72.3,96.81,739,2.2,633
1741,China,West,2006,Spring,Chlorination,28,56,7.86,14764,15.5,16.04,53.31,1691,19.92,538
1742,Nigeria,North,2011,Tap,Boiling,28,63,42.39,54507,62.01,67.31,90.2,289,16.17,678
1743,Nigeria,Central,2002,Tap,,25,45,69.72,93804,49.86,43.93,44.32,1209,6.33,76
1744,USA,North,2013,Well,Boiling,26,88,43.39,87740,9.26,12.48,20.23,2560,6.16,836
1745,Indonesia,South,2021,Spring,Filtration,23,73,55.43,32461,95.37,53.61,26.76,379,6.41,993
1746,Indonesia,Central,2018,Tap,Filtration,30,88,60.26,50226,83.48,65.92,78.97,748,23.99,524
1747,Brazil,North,2022,Pond,Chlorination,6,53,16.82,16259,7.1,52.26,28.01,201,6.84,887
1748,Mexico,East,2015,Well,Filtration,16,52,42.37,6004,93.13,19.83,95.13,1257,2.38,624
1749,Ethiopia,West,2006,Spring,Chlorination,48,28,4.79,96819,91.67,75.27,89.33,1537,38.3,164
1750,China,West,2007,Lake,,32,36,16.66,64199,4.22,35.37,61.19,2473,1.57,522
1751,Bangladesh,East,2017,River,Filtration,33,68,52.2,47672,20.15,83.72,66.52,563,26.56,344
1752,Ethiopia,South,2024,Pond,Filtration,17,13,58.21,95855,70.24,82.55,75.55,1730,37.44,855
1753,Ethiopia,Central,2012,Well,Chlorination,40,96,16.33,62316,93.46,26.03,78.52,1149,1.52,397
1754,Pakistan,West,2020,River,,4,26,76.05,65307,82.31,48.11,59.3,315,38.63,13
1755,USA,East,2008,Lake,,0,4,38.55,22361,28.19,20.99,45.07,2361,20.09,994
1756,Nigeria,East,2009,Tap,Boiling,6,43,92.22,65652,3.34,64.22,92.82,1765,31.4,389
1757,Brazil,South,2020,Tap,Chlorination,33,14,39.99,22789,47.29,78.15,23.73,794,25.0,724
1758,Indonesia,South,2022,Spring,Chlorination,2,66,16.68,51767,9.2,61.87,48.49,2726,24.67,42
